,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
508,1.0,329.049988,328.70999,516.0,False,574
509,1.0,329.78,329.54999,511.0,False,516
510,,,,,,0
511,,,,,,0
512,,,,,,0
513,,,,,,0
514,-1.0,330.44,330.39999,521.0,False,521
515,,,,,,0
516,,,,,,0
517,,,,,,0
518,,,,,,0
519,,,,,,0
520,,,,,,0
521,,,,,,0
522,1.0,331.0,330.67001,524.0,False,561
523,,,,,,0
524,,,,,,0
525,,,,,,0
526,,,,,,0
527,,,,,,0
528,,,,,,0
529,,,,,,0
530,,,,,,0
531,,,,,,0
532,1.0,334.48001,333.42999,534.0,False,535
533,,,,,,0
534,-1.0,334.48001,334.17001,536.0,False,536
535,,,,,,0
536,,,,,,0
537,,,,,,0
538,,,,,,0
539,,,,,,0
540,,,,,,0
541,,,,,,0
542,1.0,334.79999,334.48001,545.0,False,552
543,1.0,335.22,334.95999,545.0,False,545
544,,,,,,0
545,-1.0,335.22,335.10001,547.0,False,549
546,,,,,,0
547,,,,,,0
548,,,,,,0
549,,,,,,0
550,,,,,,0
551,,,,,,0
552,-1.0,338.059998,334.53,628.0,False,642
553,,,,,,0
554,,,,,,0
555,,,,,,0
556,,,,,,0
557,,,,,,0
558,,,,,,0
559,,,,,,0
560,,,,,,0
561,-1.0,331.29001,331.029999,574.0,False,628
562,-1.0,330.049988,329.785,564.0,False,564
563,,,,,,0
564,,,,,,0
565,,,,,,0
566,,,,,,0
567,,,,,,0
568,,,,,,0
569,,,,,,0
570,,,,,,0
571,1.0,329.63062,329.059998,573.0,False,574
572,,,,,,0
573,,,,,,0
574,-1.0,329.075012,327.33981,628.0,False,628
575,-1.0,327.17999,322.79999,590.0,False,628
576,,,,,,0
577,,,,,,0
578,,,,,,0
579,,,,,,0
580,1.0,318.45499,316.94,583.0,True,583
581,1.0,319.56009,318.69,583.0,False,583
582,,,,,,0
583,,,,,,0
584,,,,,,0
585,1.0,320.6001,320.57001,587.0,False,587
586,,,,,,0
587,,,,,,0
588,,,,,,0
589,,,,,,0
590,1.0,322.45001,321.88339,592.0,False,592
591,,,,,,0
592,-1.0,322.45001,321.54999,594.0,False,596
593,,,,,,0
594,,,,,,0
595,,,,,,0
596,1.0,322.34201,322.28989,600.0,False,601
597,,,,,,0
598,,,,,,0
599,,,,,,0
600,,,,,,0
601,,,,,,0
602,,,,,,0
603,,,,,,0
604,,,,,,0
605,,,,,,0
606,,,,,,0
607,,,,,,0
608,,,,,,0
609,-1.0,321.85501,321.32001,611.0,False,621
610,,,,,,0
611,,,,,,0
612,,,,,,0
613,,,,,,0
614,,,,,,0
615,,,,,,0
616,1.0,320.32001,319.82001,618.0,True,618
617,,,,,,0
618,,,,,,0
619,,,,,,0
620,,,,,,0
621,1.0,321.70999,321.62,624.0,False,624
622,,,,,,0
623,,,,,,0
624,,,,,,0
625,,,,,,0
626,1.0,324.10001,321.98001,0.0,,0
627,1.0,325.70001,324.95001,782.0,True,782
628,1.0,332.3801,326.64001,776.0,True,776
629,,,,,,0
630,,,,,,0
631,,,,,,0
632,,,,,,0
633,,,,,,0
634,,,,,,0
635,,,,,,0
636,,,,,,0
637,,,,,,0
638,1.0,335.95999,335.29001,653.0,False,764
639,,,,,,0
640,,,,,,0
641,,,,,,0
